authorPerson,work,citationYear,familyName,givenName,name,birthYear,deathYear
http://e-editiones.ch/project/data/delille#person-blandin,http://e-editiones.ch/project/data/delille#work-blandinechodesvallees,1837,,,Blandin,,
http://e-editiones.ch/project/data/delille#person-blaze,http://e-editiones.ch/project/data/delille#work-blazechasseur,1838,Blaze,Elzéar,,,
http://e-editiones.ch/project/data/delille#person-boettiger,http://e-editiones.ch/project/data/delille#work-boettigerneuerteutschermerkur,1797,Böttiger,Karl August,,,
http://e-editiones.ch/project/data/delille#person-boettiger,http://e-editiones.ch/project/data/delille#work-boettigerdecade,1797,Böttiger,Karl August,,,
http://e-editiones.ch/project/data/delille#person-boettiger,http://e-editiones.ch/project/data/delille#work-boettigermercure,1797,Böttiger,Karl August,,,
http://e-editiones.ch/project/data/delille#person-boettiger,http://e-editiones.ch/project/data/delille#work-boettigermagasinencyclopedique,1797,Böttiger,Karl August,,,
http://e-editiones.ch/project/data/delille#person-boettiger,http://e-editiones.ch/project/data/delille#work-boettigerparispendant,1797,Böttiger,Karl August,,,
http://e-editiones.ch/project/data/delille#person-boissonade,http://e-editiones.ch/project/data/delille#work-boissonadedictionnaire,1819,Boissonade de Fontarabie,Jean-François,,,
http://e-editiones.ch/project/data/delille#person-bonaldv,http://e-editiones.ch/project/data/delille#work-bonaldreflexions,1860,Bonald,Victor de,,,
http://e-editiones.ch/project/data/delille#person-bonnat,http://e-editiones.ch/project/data/delille#work-bonnatbotanique,1839,Bonnat,Rita,,,
http://e-editiones.ch/project/data/delille#person-bonnel,http://e-editiones.ch/project/data/delille#work-bonnelimagination,1865,Bonnel,Antonin,,,
http://e-editiones.ch/project/data/delille#person-boreau,http://e-editiones.ch/project/data/delille#work-boreaumemoiresangers,1854,Boreau,Alexandre,,,
http://e-editiones.ch/project/data/delille#person-bosson,http://e-editiones.ch/project/data/delille#work-bossonetudes,1869,Bosson,A.,,,
http://e-editiones.ch/project/data/delille#person-boucharlat,http://e-editiones.ch/project/data/delille#work-boucharlatcours,1826,Boucharlat,Jean-Louis,,,
http://e-editiones.ch/project/data/delille#person-bouillet,http://e-editiones.ch/project/data/delille#work-devezeessai,1827,Bouillet,Jean-Baptiste,,,
