stropheOrdinalNumeral,verseOrdinalNumeral,citationYear,authorPerson,work,manOfLettersCount,vulgarizerCount,artistCount,otherRoleCount,allRoles
1,9,1800,http://e-editiones.ch/project/data/delille#person-petitain,http://e-editiones.ch/project/data/delille#work-petitainjournaldeparis,1,0,0,0,1
1,9,1800,http://e-editiones.ch/project/data/delille#person-pougens,http://e-editiones.ch/project/data/delille#work-pougenshommedeschamps,1,0,0,0,1
1,9,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
1,10,1822,http://e-editiones.ch/project/data/delille#person-carpentier,http://e-editiones.ch/project/data/delille#work-carpentiergradus,1,0,0,0,1
1,10,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,10,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,10,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,10,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,10,1803,http://e-editiones.ch/project/data/delille#person-moysant,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,10,1800,http://e-editiones.ch/project/data/delille#person-pougens,http://e-editiones.ch/project/data/delille#work-pougenshommedeschamps,1,0,0,0,1
1,10,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
1,11,1822,http://e-editiones.ch/project/data/delille#person-carpentier,http://e-editiones.ch/project/data/delille#work-carpentiergradus,1,0,0,0,1
1,11,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,11,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,11,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,11,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,11,1803,http://e-editiones.ch/project/data/delille#person-moysant,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,11,1800,http://e-editiones.ch/project/data/delille#person-pougens,http://e-editiones.ch/project/data/delille#work-pougenshommedeschamps,1,0,0,0,1
1,11,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
1,12,1822,http://e-editiones.ch/project/data/delille#person-carpentier,http://e-editiones.ch/project/data/delille#work-carpentiergradus,1,0,0,0,1
1,12,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,12,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,12,1800,http://e-editiones.ch/project/data/delille#person-geoffroy,http://e-editiones.ch/project/data/delille#work-geoffroyhommedeschamps,1,0,0,0,1
1,12,1810,http://e-editiones.ch/project/data/delille#person-geoffroy,http://e-editiones.ch/project/data/delille#work-geoffroycrspectateurfr,1,0,0,0,1
1,12,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,12,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,12,1803,http://e-editiones.ch/project/data/delille#person-moysant,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,12,1800,http://e-editiones.ch/project/data/delille#person-pougens,http://e-editiones.ch/project/data/delille#work-pougenshommedeschamps,1,0,0,0,1
1,12,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
1,13,1822,http://e-editiones.ch/project/data/delille#person-carpentier,http://e-editiones.ch/project/data/delille#work-carpentiergradus,1,0,0,0,1
1,13,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,13,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,13,1800,http://e-editiones.ch/project/data/delille#person-geoffroy,http://e-editiones.ch/project/data/delille#work-geoffroyhommedeschamps,1,0,0,0,1
1,13,1810,http://e-editiones.ch/project/data/delille#person-geoffroy,http://e-editiones.ch/project/data/delille#work-geoffroycrspectateurfr,1,0,0,0,1
1,13,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,13,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,13,1803,http://e-editiones.ch/project/data/delille#person-moysant,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,13,1800,http://e-editiones.ch/project/data/delille#person-pougens,http://e-editiones.ch/project/data/delille#work-pougenshommedeschamps,1,0,0,0,1
1,13,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
1,14,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,14,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,14,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,14,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,14,1803,http://e-editiones.ch/project/data/delille#person-moysant,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,14,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
1,15,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,15,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,15,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,15,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,15,1803,http://e-editiones.ch/project/data/delille#person-moysant,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,15,1800,http://e-editiones.ch/project/data/delille#person-petitain,http://e-editiones.ch/project/data/delille#work-petitainjournaldeparis,1,0,0,0,1
1,15,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
1,16,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,16,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,16,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,16,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,16,1803,http://e-editiones.ch/project/data/delille#person-moysant,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,16,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
1,17,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,17,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,17,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,17,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,17,1803,http://e-editiones.ch/project/data/delille#person-moysant,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,17,1853,http://e-editiones.ch/project/data/delille#person-theil,http://e-editiones.ch/project/data/delille#work-theilrecueilmorceaux,1,0,0,0,1
1,18,1850,_:genid-29916f6dc9654d2cb60d6184af09222e-t_401,http://e-editiones.ch/project/data/delille#work-stammbuch,0,0,0,0,0
1,18,1800,_:genid-29916f6dc9654d2cb60d6184af09222e-t_402,http://e-editiones.ch/project/data/delille#work-compterendumercurelondres,0,0,0,0,0
1,18,1800,_:genid-29916f6dc9654d2cb60d6184af09222e-t_403,http://e-editiones.ch/project/data/delille#work-compterendumonthlyreview,0,0,0,0,0
1,18,1800,http://e-editiones.ch/project/data/delille#person-chaussard,http://e-editiones.ch/project/data/delille#work-examenchaussard,1,0,0,0,1
1,18,1800,http://e-editiones.ch/project/data/delille#person-davidp,http://e-editiones.ch/project/data/delille#work-compterendumoniteuruniversel,1,0,0,0,1
1,18,1849,http://e-editiones.ch/project/data/delille#person-gauss,http://e-editiones.ch/project/data/delille#work-gaussstammbuch,1,0,0,0,1
1,18,1808,http://e-editiones.ch/project/data/delille#person-gnph,http://e-editiones.ch/project/data/delille#work-gnphsiecles,0,0,0,1,1
1,18,1803,http://e-editiones.ch/project/data/delille#person-levizac,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
1,18,1814,http://e-editiones.ch/project/data/delille#person-moustalon,http://e-editiones.ch/project/data/delille#work-moustalonmorale,1,0,0,0,1
1,18,1803,http://e-editiones.ch/project/data/delille#person-moysant,http://e-editiones.ch/project/data/delille#work-moysantbibliotheque,1,0,0,0,1
